Freq(Hz),Re(X1),Im(X1),Re(X2),Im(X2),Re(X3),Im(X3)
1.0,2.0,0.0,1.9998345913405033,0.01818763203302866,-0.5713813118115723,-0.005196466295151045
1.0209606623060468,2.0,0.0,1.9998413128779964,0.01781429376664626,-0.5713832322508561,-0.005089798219041787
1.0423606739764015,2.0,0.0,1.999847761300242,0.017448616647002507,-0.571385074657212,-0.0049853190420007165
1.0642092440647242,2.0,0.0,1.9998539477030366,0.017090443606108355,-0.5713868422008676,-0.00488298388745953
1.0865157746525382,2.0,0.0,1.999859882731521,0.0167396207874892,-0.5713885379232918,-0.0047827487964254844
1.1092898648952227,2.0000000000000004,0.0,1.9998655765984754,0.016395997481044044,-0.5713901647424214,-0.004684570708869727
1.1325413151528119,2.0,0.0,1.999871039101868,0.016059426059194325,-0.5713917254576766,-0.004588407445484092
1.1562801312073758,2.0,0.0,1.9998762796416962,0.015729761914298653,-0.5713932227547703,-0.004494217689799615
1.180516528568805,2.0,0.0,1.9998813072361423,0.015406863397310249,-0.5713946592103263,-0.0044019609706600705
1.2052609368708425,2.0,0.0,1.9998861305370745,0.015090591757654146,-0.571396037296307,-0.004311597645044042
1.2305240043592616,2.0,0.0,1.9998907578449208,0.014780811084301411,-0.5713973593842631,-0.004223088881228974
1.2563166024741206,2.0,0.0,1.9998951971229366,0.014477388248018133,-0.5713986277494104,-0.004136396642290895
1.2826498305280605,2.0000000000000004,0.0,1.9998994560108958,0.014180192844767152,-0.5713998445745416,-0.004051483669933471
1.3095350204826672,2.0000000000000004,0.0,1.999903541838226,0.013889097140240819,-0.5714010119537788,-0.0039683134686402345
1.3369837418249464,2.0,2.6432255946858634e-18,1.9999074616366104,0.013603976015503479,-0.5714021318961744,-0.0038868502901438506
1.365007806546014,2.0,2.588959293216647e-18,1.9999112221520787,0.013324706913722584,-0.5714032063291653,-0.003807059118220663
1.3936192742241424,2.0,2.5358070969834992e-18,1.9999148298566063,0.01305116978796781,-0.5714042371018874,-0.0037289056537192994
1.4228304572143526,2.0000000000000004,0.0,1.999918290959245,0.01278324705005773,-0.5714052259883556,-0.0036523563000164946
1.4526539259467808,2.0,0.0,1.9999216114168001,0.012520823520434026,-0.5714061746905142,-0.0035773781486954357
1.4831025143361043,2.0,0.0,1.9999247969440748,0.012263786379043485,-0.5714070848411642,-0.0035039389654409952
1.5141893253043521,2.0,2.3338888915758602e-18,1.9999278530236988,0.012012025117208426,-0.571407958006771,-0.003432007176359475
1.5459277364194774,2.0000000000000004,0.0,1.9999307849155576,0.011765431490466396,-0.5714087956901593,-0.0033615518544189704
1.5783314056521174,2.0,2.2390415811376805e-18,1.9999335976658406,0.011523899472360453,-0.5714095993330973,-0.0032925427063887004
1.6114142772530196,2.0,0.0,1.9999362961157188,0.011287325209161491,-0.5714103703187767,-0.0032249500597604265
1.6451905877536626,2.0,0.0,1.9999388849096744,0.011055606975504586,-0.5714111099741928,-0.003158744850144167
1.6796748720926535,2.0000000000000004,2.1039486300510875e-18,1.9999413685034884,0.0108286451309214,-0.571411819572425,-0.003093898608848897
1.7148819698705398,2.0000000000000004,2.060753864207552e-18,1.999943751171905,0.010606342077251299,-0.5714125003348299,-0.003030383450657439
1.7508270317357244,2.0,0.0,1.9999460370159876,0.010388602216913794,-0.5714131534331393,-0.00296817206197537
1.787525525904235,2.0,0.0,1.999948229970172,0.01017533191202559,-0.5714137799914777,-0.002907237689150169
1.8249932448161523,2.0000000000000004,0.0,1.999950333809036,0.009966439444345436,-0.5714143810882959,-0.0028475541269700503
1.8632463119315603,2.0000000000000004,1.8966626277161695e-18,1.9999523521537919,0.009761834976030672,-0.5714149577582263,-0.002789095707437334
1.9023011886689445,2.0,1.8577235125123942e-18,1.9999542884785182,0.009561430511189286,-0.5714155109938623,-0.0027318372889112244
1.9421746814890257,2.0000000000000004,0.0,1.9999561461161368,0.009365139858211892,-0.5714160417474675,-0.0026757542452176086
1.982883949127071,2.0,0.0,1.9999579282641449,0.009172878592868073,-0.5714165509326127,-0.002620822455105164
2.0244465099768036,2.0,0.0,1.99995963799012,0.008984564022152048,-0.5714170394257486,-0.0025670182920434423
2.0668802496290826,2.0,0.0,1.999961278236996,0.008800115148862649,-0.5714175080677131,-0.002514318613960757
2.1102034285685956,2.0,0.0,1.9999628518281267,0.008619452636903186,-0.571417957665179,-0.00246270075340091
2.154434690031884,2.0,0.0,1.9999643614721454,0.008442498777286677,-0.5714183889920416,-0.002412142507796193
2.1995930680300746,2.0000000000000004,0.0,1.9999658097676243,0.008269177454832504,-0.5714188027907497,-0.002362622129952144
2.2456979955397744,2.0,0.0,1.9999671992075465,0.008099414115540675,-0.5714191997735847,-0.002314118318725907
2.2927693128656492,2.0,0.0,1.9999685321835963,0.007933135734630113,-0.5714195806238846,-0.0022666102098943173
2.340827276178293,2.0,0.0,1.999969810990274,0.007770270785227702,-0.5714199459972211,-0.0022200773672079147
2.3898925662310497,2.0,0.0,1.999971037828845,0.007610749207695094,-0.5714202965225272,-0.0021744997736271696
2.43998629725955,2.0,0.0,1.999972214811128,0.007454502379580433,-0.5714206328031793,-0.0021298578227372665
2.491130026067789,2.0,0.0,1.9999733439631284,0.007301463086182504,-0.5714209554180367,-0.0020861323103378584
2.543345761304649,2.0,0.0,1.9999744272285256,0.007151565491714954,-0.5714212649224358,-0.0020433044262042725
2.596655972934871,2.0,0.0,1.9999754664720175,0.007004745111058586,-0.5714215618491477,-0.0020013557460167386
