Freq(Hz),Re(V1),Im(V1),Re(V2),Im(V2),Re(V3),Im(V3),Re(V4),Im(V4),Re(V5),Im(V5),Re(L1_I),Im(L1_I),Re(V1_I),Im(V1_I),Re(E1_I),Im(E1_I)
1.0,2.0,8.377580740306424e-05,-3.406121849023156e-24,8.377580740306425e-05,1.9333333333333336,8.377580740306426e-05,10.0,-0.0,22.0,-8.377580740306426e-05,0.013333333859712275,5.421011290453417e-22,-0.013333333333333332,0.0,-0.02,-0.0
1.0209606623060468,2.0,8.553180395449392e-05,4.63668857400654e-24,8.553180395449391e-05,1.9333333333333336,8.55318039544939e-05,10.0,-0.0,22.0,-8.55318039544939e-05,0.01333333388201004,-7.228015078113178e-22,-0.013333333333333332,0.0,-0.02,-0.0
1.0423606739764015,2.0,8.732460736583298e-05,5.917345817410666e-24,8.732460736583297e-05,1.9333333333333336,8.732460736583298e-05,10.0,-0.0,22.0,-8.732460736583295e-05,0.013333333905252355,-9.035018879140683e-22,-0.013333333333333332,0.0,-0.02,-0.0
1.0642092440647242,2.0,8.915498913383233e-05,3.6248263960752376e-24,8.915498913383233e-05,1.9333333333333336,8.915498913383233e-05,10.0,-0.0,22.0,-8.915498913383233e-05,0.01333333392947923,-5.421011347184534e-22,-0.013333333333333332,0.0,-0.02,-0.0
1.0865157746525382,2.0,9.102373692636348e-05,1.7270424136466472e-23,9.102373692636349e-05,1.9333333333333336,9.102373692636348e-05,10.0,-0.0,22.0,-9.10237369263635e-05,0.013333333954732372,-2.529805304935612e-21,-0.013333333333333332,0.0,-0.02,-0.0
1.1092898648952227,2.0,9.293165492137861e-05,6.297294190819134e-24,9.293165492137861e-05,1.9333333333333336,9.293165492137863e-05,10.0,-0.0,22.0,-9.293165492137861e-05,0.013333333981055257,-9.035018981872775e-22,-0.013333333333333332,0.0,-0.02,-0.0
1.1325413151528119,2.0,9.487956415297516e-05,-3.857573804553414e-24,9.487956415297516e-05,1.9333333333333336,9.487956415297517e-05,10.0,-0.0,22.0,-9.487956415297516e-05,0.013333334008493195,5.42101141143487e-22,-0.013333333333333332,0.0,-0.02,-0.0
1.1562801312073758,2.0,9.686830286471472e-05,-3.938431123287312e-24,9.686830286471471e-05,1.9333333333333336,9.686830286471473e-05,10.0,-0.0,22.0,-9.68683028647147e-05,0.01333333403709342,5.421011434691192e-22,-0.013333333333333332,0.0,-0.02,-0.0
1.180516528568805,2.0,9.889872687034767e-05,2.4125899596354267e-23,9.889872687034767e-05,1.9333333333333336,9.889872687034767e-05,10.0,-0.0,22.0,-9.889872687034767e-05,0.013333334066905175,-3.2526068753596013e-21,-0.013333333333333332,0.0,-0.02,-0.0
1.2052609368708425,2.0,0.0001009717099220991,1.5052641111099512e-23,0.00010097170992209911,1.9333333333333336,0.0001009717099220991,10.0,-0.0,22.0,-0.00010097170992209913,0.013333334097979772,-1.987704210873711e-21,-0.013333333333333332,0.0,-0.02,-0.0
1.2305240043592616,2.0,0.00010308814408667446,1.2573944601473231e-23,0.00010308814408667446,1.9333333333333336,0.00010308814408667448,10.0,-0.0,22.0,-0.00010308814408667446,0.013333334130370711,-1.6263034531619332e-21,-0.013333333333333332,0.0,-0.02,-0.0
1.2563166024741206,2.0,0.00010524894012914664,1.426389208126069e-23,0.00010524894012914664,1.9333333333333336,0.00010524894012914663,10.0,-0.0,22.0,-0.00010524894012914664,0.013333334164133754,-1.807003845998084e-21,-0.013333333333333332,0.0,-0.02,-0.0
1.2826498305280605,2.0,0.00010745502790489005,1.3106585504900834e-23,0.00010745502790489004,1.9333333333333336,0.00010745502790489006,10.0,-0.0,22.0,-0.00010745502790489002,0.013333334199327022,-1.6263034699835152e-21,-0.013333333333333332,0.0,-0.02,-0.0
1.3095350204826672,2.0,0.00010970735675972973,8.920872194191014e-24,0.00010970735675972972,1.9333333333333336,0.00010970735675972972,10.0,-0.0,22.0,-0.00010970735675972971,0.0133333342360111,-1.0842023192882873e-21,-0.013333333333333332,0.0,-0.02,-0.0
1.3369837418249464,2.0,0.00011200689593847868,1.5179766059948095e-23,0.00011200689593847869,1.9333333333333336,0.00011200689593847868,10.0,-0.0,22.0,-0.0001120068959384787,0.013333334274249141,-1.8070038758449215e-21,-0.013333333333333332,0.0,-0.02,-0.0
1.365007806546014,2.0,0.00011435463500203823,1.859753292344714e-23,0.00011435463500203823,1.9333333333333336,0.00011435463500203825,10.0,-0.0,22.0,-0.00011435463500203823,0.01333333431410697,-2.1684046639780904e-21,-0.013333333333333332,0.0,-0.02,-0.0
1.3936192742241424,2.0,0.00011675158425324128,2.689874533623778e-23,0.0001167515842532413,1.9333333333333336,0.00011675158425324128,10.0,-0.0,22.0,-0.00011675158425324131,0.013333334355653204,-3.0719066264462157e-21,-0.013333333333333332,0.0,-0.02,-0.0
1.4228304572143526,2.0,0.00011919877517162254,3.7155229631639965e-23,0.00011919877517162254,1.9333333333333336,0.00011919877517162254,10.0,-0.0,22.0,-0.00011919877517162254,0.013333334398959366,-4.1561089921897064e-21,-0.013333333333333332,0.0,-0.02,-0.0
